;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/21/2012 10:03:53 PM
;----------------------------------------------

;Address Opcode 	ASM
0x00BA	0xF1A8C278  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,2266 :: 		
0x00BE	0x0E80      	MOVLW       128
0x00C0	0x0102      	MOVLB       2
0x00C2	0x1179      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 0, 1
0x00C4	0x6E00      	MOVWF       R0 
0x00C6	0x8000      	BSF         R0, 0 
0x00C8	0xF1A6C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
;__Lib_USB_genHID.c,2267 :: 		
L_end_USB_EP0_Send_RAM:
0x00CC	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Send_RAM
__Lib_USB_genHID_USB_Configure_Endpoint:
;__Lib_USB_genHID.c,3950 :: 		
;__Lib_USB_genHID.c,3953 :: 		
0x00CE	0x0E00      	MOVLW       __Lib_USB_genHID_BDT
0x00D0	0x6E05      	MOVWF       R5 
0x00D2	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT)
0x00D4	0x6E06      	MOVWF       R6 
;__Lib_USB_genHID.c,3954 :: 		
0x00D6	0xF003C275  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R3
0x00DA	0x0E00      	MOVLW       0
0x00DC	0x6E04      	MOVWF       R4 
0x00DE	0x3603      	RLCF        R3, 1 
0x00E0	0x3604      	RLCF        R4, 1 
0x00E2	0x9003      	BCF         R3, 0 
0x00E4	0x3603      	RLCF        R3, 1 
0x00E6	0x3604      	RLCF        R4, 1 
0x00E8	0x9003      	BCF         R3, 0 
0x00EA	0xF000C276  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, R0
0x00EE	0x0E00      	MOVLW       0
0x00F0	0x6E01      	MOVWF       R1 
0x00F2	0x3600      	RLCF        R0, 1 
0x00F4	0x3601      	RLCF        R1, 1 
0x00F6	0x9000      	BCF         R0, 0 
0x00F8	0x5000      	MOVF        R0, 0 
0x00FA	0x2603      	ADDWF       R3, 1 
0x00FC	0x5001      	MOVF        R1, 0 
0x00FE	0x2204      	ADDWFC      R4, 1 
0x0100	0xF001C003  	MOVFF       R3, R1
0x0104	0xF002C004  	MOVFF       R4, R2
0x0108	0x3601      	RLCF        R1, 1 
0x010A	0x9001      	BCF         R1, 0 
0x010C	0x3602      	RLCF        R2, 1 
0x010E	0x3601      	RLCF        R1, 1 
0x0110	0x9001      	BCF         R1, 0 
0x0112	0x3602      	RLCF        R2, 1 
0x0114	0xF003C001  	MOVFF       R1, R3
0x0118	0xF004C002  	MOVFF       R2, R4
0x011C	0x3204      	RRCF        R4, 1 
0x011E	0x3203      	RRCF        R3, 1 
0x0120	0x9E04      	BCF         R4, 7 
0x0122	0xBC04      	BTFSC       R4, 6 
0x0124	0x8E04      	BSF         R4, 7 
0x0126	0x3204      	RRCF        R4, 1 
0x0128	0x3203      	RRCF        R3, 1 
0x012A	0x9E04      	BCF         R4, 7 
0x012C	0xBC04      	BTFSC       R4, 6 
0x012E	0x8E04      	BSF         R4, 7 
0x0130	0xF000C003  	MOVFF       R3, R0
0x0134	0xF001C004  	MOVFF       R4, R1
0x0138	0x3600      	RLCF        R0, 1 
0x013A	0x9000      	BCF         R0, 0 
0x013C	0x3601      	RLCF        R1, 1 
0x013E	0x3600      	RLCF        R0, 1 
0x0140	0x9000      	BCF         R0, 0 
0x0142	0x3601      	RLCF        R1, 1 
0x0144	0x5005      	MOVF        R5, 0 
0x0146	0x2600      	ADDWF       R0, 1 
0x0148	0x5006      	MOVF        R6, 0 
0x014A	0x2201      	ADDWFC      R1, 1 
0x014C	0xF005C000  	MOVFF       R0, R5
0x0150	0xF006C001  	MOVFF       R1, R6
;__Lib_USB_genHID.c,3956 :: 		
0x0154	0xFFE1C000  	MOVFF       R0, FSR1L
0x0158	0xFFE2C001  	MOVFF       R1, FSR1H
0x015C	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,3958 :: 		
0x015E	0x0102      	MOVLB       2
0x0160	0x5176      	MOVF        FARG___Lib_USB_genHID_USB_Configure_Endpoint_direction, 0, 1
0x0162	0x0A00      	XORLW       0
0x0164	0xE112      	BNZ         L___Lib_USB_genHID_USB_Configure_Endpoint189
;__Lib_USB_genHID.c,3959 :: 		
0x0166	0xF000C275  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R0
0x016A	0x0E00      	MOVLW       0
0x016C	0x6E01      	MOVWF       R1 
0x016E	0x3600      	RLCF        R0, 1 
0x0170	0x9000      	BCF         R0, 0 
0x0172	0x3601      	RLCF        R1, 1 
0x0174	0x0E82      	MOVLW       __Lib_USB_genHID_BDTEntry_OutPtr
0x0176	0x2400      	ADDWF       R0, 0 
0x0178	0x6EE1      	MOVWF       FSR1L 
0x017A	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_OutPtr)
0x017C	0x2001      	ADDWFC      R1, 0 
0x017E	0x6EE2      	MOVWF       FSR1H 
0x0180	0xFFE6C005  	MOVFF       R5, POSTINC1
0x0184	0xFFE6C006  	MOVFF       R6, POSTINC1
;__Lib_USB_genHID.c,3960 :: 		
0x0188	0xD011      	BRA         L___Lib_USB_genHID_USB_Configure_Endpoint190
L___Lib_USB_genHID_USB_Configure_Endpoint189:
;__Lib_USB_genHID.c,3961 :: 		
0x018A	0xF000C275  	MOVFF       FARG___Lib_USB_genHID_USB_Configure_Endpoint_EPNum, R0
0x018E	0x0E00      	MOVLW       0
0x0190	0x6E01      	MOVWF       R1 
0x0192	0x3600      	RLCF        R0, 1 
0x0194	0x9000      	BCF         R0, 0 
0x0196	0x3601      	RLCF        R1, 1 
0x0198	0x0E9B      	MOVLW       __Lib_USB_genHID_BDTEntry_InPtr
0x019A	0x2400      	ADDWF       R0, 0 
0x019C	0x6EE1      	MOVWF       FSR1L 
0x019E	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_InPtr)
0x01A0	0x2001      	ADDWFC      R1, 0 
0x01A2	0x6EE2      	MOVWF       FSR1H 
0x01A4	0xFFE6C005  	MOVFF       R5, POSTINC1
0x01A8	0xFFE6C006  	MOVFF       R6, POSTINC1
;__Lib_USB_genHID.c,3962 :: 		
L___Lib_USB_genHID_USB_Configure_Endpoint190:
;__Lib_USB_genHID.c,3965 :: 		
0x01AC	0xFFE1C005  	MOVFF       R5, FSR1L
0x01B0	0xFFE2C006  	MOVFF       R6, FSR1H
0x01B4	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,3966 :: 		
0x01B6	0x0E04      	MOVLW       4
0x01B8	0x2405      	ADDWF       R5, 0 
0x01BA	0x6EE1      	MOVWF       FSR1L 
0x01BC	0x0E00      	MOVLW       0
0x01BE	0x2006      	ADDWFC      R6, 0 
0x01C0	0x6EE2      	MOVWF       FSR1H 
0x01C2	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,3981 :: 		
L_end_USB_Configure_Endpoint:
0x01C4	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Configure_Endpoint
__Lib_USB_genHID_USB_EP0_Transmit_Options:
;__Lib_USB_genHID.c,2235 :: 		
;__Lib_USB_genHID.c,2236 :: 		
0x01C6	0x0E80      	MOVLW       128
0x01C8	0x0102      	MOVLB       2
0x01CA	0x1175      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 0, 1
0x01CC	0x6E00      	MOVWF       R0 
0x01CE	0xF1A6C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
;__Lib_USB_genHID.c,2237 :: 		
L_end_USB_EP0_Transmit_Options:
0x01D2	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Transmit_Options
__Lib_USB_genHID_USB_EP0_Send_ROM:
;__Lib_USB_genHID.c,2269 :: 		
;__Lib_USB_genHID.c,2270 :: 		
0x01D4	0xF1A3C275  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, __Lib_USB_genHID_inPipes
0x01D8	0xF1A4C276  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, __Lib_USB_genHID_inPipes+1
0x01DC	0xF1A5C277  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,2271 :: 		
0x01E0	0xF1A7C278  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, __Lib_USB_genHID_inPipes+4
0x01E4	0xF1A8C279  	MOVFF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,2272 :: 		
0x01E8	0x0E80      	MOVLW       128
0x01EA	0x0102      	MOVLB       2
0x01EC	0x117A      	IORWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 0, 1
0x01EE	0x6E00      	MOVWF       R0 
0x01F0	0xF1A6C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+3
;__Lib_USB_genHID.c,2273 :: 		
L_end_USB_EP0_Send_ROM:
0x01F4	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_EP0_Send_ROM
__Lib_USB_genHID_USB_Check_HID_Request:
;__Lib_USB_genHID.c,4278 :: 		
;__Lib_USB_genHID.c,4279 :: 		
0x01F6	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x01FA	0x0E1F      	MOVLW       31
0x01FC	0x1601      	ANDWF       R1, 1 
0x01FE	0x5001      	MOVF        R1, 0 
0x0200	0x0A01      	XORLW       1
0x0202	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request205
0x0204	0xD08D      	BRA         L_end_USB_Check_HID_Request
L___Lib_USB_genHID_USB_Check_HID_Request205:
;__Lib_USB_genHID.c,4280 :: 		
0x0206	0x0104      	MOVLB       4
0x0208	0x5124      	MOVF        1060, 0, 1
0x020A	0x0A00      	XORLW       0
0x020C	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request206
0x020E	0xD088      	BRA         L_end_USB_Check_HID_Request
L___Lib_USB_genHID_USB_Check_HID_Request206:
;__Lib_USB_genHID.c,4287 :: 		
0x0210	0x5121      	MOVF        1057, 0, 1
0x0212	0x0A06      	XORLW       6
0x0214	0xE13A      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request207
;__Lib_USB_genHID.c,4288 :: 		
0x0216	0xD02F      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request208
;__Lib_USB_genHID.c,4289 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request210:
;__Lib_USB_genHID.c,4290 :: 		
0x0218	0x0101      	MOVLB       1
0x021A	0x519F      	MOVF        __Lib_USB_genHID_USBActiveConfiguration, 0, 1
0x021C	0x0A01      	XORLW       1
0x021E	0xE113      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request211
;__Lib_USB_genHID.c,4293 :: 		
0x0220	0x0E02      	MOVLW       _configDescriptor1
0x0222	0x0102      	MOVLB       2
0x0224	0x6F75      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1
0x0226	0x0E31      	MOVLW       hi_addr(_configDescriptor1)
0x0228	0x6F76      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1
0x022A	0x0E00      	MOVLW       higher_addr(_configDescriptor1)
0x022C	0x6F77      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1
0x022E	0x0E12      	MOVLW       18
0x0230	0x2775      	ADDWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1, 1
0x0232	0x0E00      	MOVLW       0
0x0234	0x2376      	ADDWFC      FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1, 1
0x0236	0x2377      	ADDWFC      FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1, 1
;__Lib_USB_genHID.c,4294 :: 		
0x0238	0x0E09      	MOVLW       9
0x023A	0x6F78      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, 1
0x023C	0x0E00      	MOVLW       0
0x023E	0x6F79      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, 1
;__Lib_USB_genHID.c,4295 :: 		
0x0240	0x0E40      	MOVLW       64
0x0242	0x6F7A      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 1
0x0244	0xDFC7      	RCALL       __Lib_USB_genHID_USB_EP0_Send_ROM
;__Lib_USB_genHID.c,4296 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request211:
;__Lib_USB_genHID.c,4297 :: 		
0x0246	0xD021      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request209
;__Lib_USB_genHID.c,4298 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request212:
;__Lib_USB_genHID.c,4299 :: 		
0x0248	0x0101      	MOVLB       1
0x024A	0x519F      	MOVF        __Lib_USB_genHID_USBActiveConfiguration, 0, 1
0x024C	0x0A01      	XORLW       1
0x024E	0xE10E      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request213
;__Lib_USB_genHID.c,4302 :: 		
0x0250	0x0E4E      	MOVLW       _hid_rpt_desc
0x0252	0x0102      	MOVLB       2
0x0254	0x6F75      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src, 1
0x0256	0x0E31      	MOVLW       hi_addr(_hid_rpt_desc)
0x0258	0x6F76      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+1, 1
0x025A	0x0E00      	MOVLW       higher_addr(_hid_rpt_desc)
0x025C	0x6F77      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_src+2, 1
;__Lib_USB_genHID.c,4303 :: 		
0x025E	0x0E21      	MOVLW       33
0x0260	0x6F78      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size, 1
0x0262	0x0E00      	MOVLW       0
0x0264	0x6F79      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_size+1, 1
;__Lib_USB_genHID.c,4304 :: 		
0x0266	0x0E40      	MOVLW       64
0x0268	0x6F7A      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_ROM_options, 1
0x026A	0xDFB4      	RCALL       __Lib_USB_genHID_USB_EP0_Send_ROM
;__Lib_USB_genHID.c,4305 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request213:
;__Lib_USB_genHID.c,4306 :: 		
0x026C	0xD00E      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request209
;__Lib_USB_genHID.c,4307 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request214:
0x026E	0x0102      	MOVLB       2
;__Lib_USB_genHID.c,4308 :: 		
0x0270	0x6B75      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x0272	0xDFA9      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
;__Lib_USB_genHID.c,4309 :: 		
0x0274	0xD00A      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request209
;__Lib_USB_genHID.c,4310 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request208:
0x0276	0x0104      	MOVLB       4
0x0278	0x5123      	MOVF        1059, 0, 1
0x027A	0x0A21      	XORLW       33
0x027C	0xE0CD      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request210
0x027E	0x5123      	MOVF        1059, 0, 1
0x0280	0x0A22      	XORLW       34
0x0282	0xE0E2      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request212
0x0284	0x5123      	MOVF        1059, 0, 1
0x0286	0x0A23      	XORLW       35
0x0288	0xE0F2      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request214
L___Lib_USB_genHID_USB_Check_HID_Request209:
;__Lib_USB_genHID.c,4311 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request207:
;__Lib_USB_genHID.c,4313 :: 		
0x028A	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x028E	0x0E60      	MOVLW       96
0x0290	0x1601      	ANDWF       R1, 1 
0x0292	0x0E05      	MOVLW       5
0x0294	0x6E00      	MOVWF       R0 
0x0296	0x5000      	MOVF        R0, 0 
L___Lib_USB_genHID_USB_Check_HID_Request318:
0x0298	0xE004      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request319
0x029A	0x3201      	RRCF        R1, 1 
0x029C	0x9E01      	BCF         R1, 7 
0x029E	0x0FFF      	ADDLW       255
0x02A0	0xD7FB      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request318
L___Lib_USB_genHID_USB_Check_HID_Request319:
0x02A2	0x5001      	MOVF        R1, 0 
0x02A4	0x0A01      	XORLW       1
0x02A6	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request215
;__Lib_USB_genHID.c,4314 :: 		
0x02A8	0xD03B      	BRA         L_end_USB_Check_HID_Request
;__Lib_USB_genHID.c,4315 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request215:
;__Lib_USB_genHID.c,4317 :: 		
0x02AA	0xD027      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request216
;__Lib_USB_genHID.c,4318 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request218:
;__Lib_USB_genHID.c,4322 :: 		
0x02AC	0xD039      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4323 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request219:
;__Lib_USB_genHID.c,4327 :: 		
0x02AE	0xD038      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4328 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request220:
;__Lib_USB_genHID.c,4330 :: 		
0x02B0	0x0E86      	MOVLW       __Lib_USB_genHID_idle_rate
0x02B2	0x0102      	MOVLB       2
0x02B4	0x6F75      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src, 1
0x02B6	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_idle_rate)
0x02B8	0x6F76      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src+1, 1
;__Lib_USB_genHID.c,4331 :: 		
0x02BA	0x0E01      	MOVLW       1
0x02BC	0x6F77      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size, 1
0x02BE	0x0E00      	MOVLW       0
0x02C0	0x6F78      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, 1
;__Lib_USB_genHID.c,4332 :: 		
0x02C2	0x0E40      	MOVLW       64
0x02C4	0x6F79      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 1
0x02C6	0xDEF3      	RCALL       __Lib_USB_genHID_USB_EP0_Send_RAM
;__Lib_USB_genHID.c,4333 :: 		
0x02C8	0xD02B      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4334 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request221:
0x02CA	0x0102      	MOVLB       2
;__Lib_USB_genHID.c,4335 :: 		
0x02CC	0x6B75      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x02CE	0xDF7B      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
;__Lib_USB_genHID.c,4336 :: 		
0x02D0	0xF186C423  	MOVFF       1059, __Lib_USB_genHID_idle_rate
;__Lib_USB_genHID.c,4337 :: 		
0x02D4	0xD025      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4338 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request222:
0x02D6	0x0102      	MOVLB       2
;__Lib_USB_genHID.c,4340 :: 		
0x02D8	0x0E87      	MOVLW       __Lib_USB_genHID_active_protocol
0x02DA	0x6F75      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src, 1
0x02DC	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_active_protocol)
0x02DE	0x6F76      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_src+1, 1
;__Lib_USB_genHID.c,4341 :: 		
0x02E0	0x0E01      	MOVLW       1
0x02E2	0x6F77      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size, 1
0x02E4	0x0E00      	MOVLW       0
0x02E6	0x6F78      	MOVWF       FARG___Lib_USB_genHID_USB_EP0_Send_RAM_size+1, 1
;__Lib_USB_genHID.c,4342 :: 		
0x02E8	0x6B79      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Send_RAM_options, 1
0x02EA	0xDEE1      	RCALL       __Lib_USB_genHID_USB_EP0_Send_RAM
;__Lib_USB_genHID.c,4343 :: 		
0x02EC	0xD019      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4344 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request223:
0x02EE	0x0102      	MOVLB       2
;__Lib_USB_genHID.c,4345 :: 		
0x02F0	0x6B75      	CLRF        FARG___Lib_USB_genHID_USB_EP0_Transmit_Options_options, 1
0x02F2	0xDF69      	RCALL       __Lib_USB_genHID_USB_EP0_Transmit_Options
;__Lib_USB_genHID.c,4346 :: 		
0x02F4	0xF187C422  	MOVFF       1058, __Lib_USB_genHID_active_protocol
;__Lib_USB_genHID.c,4347 :: 		
0x02F8	0xD013      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request217
;__Lib_USB_genHID.c,4348 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request216:
0x02FA	0x0104      	MOVLB       4
0x02FC	0x5121      	MOVF        1057, 0, 1
0x02FE	0x0A01      	XORLW       1
0x0300	0xE0D5      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request218
0x0302	0x5121      	MOVF        1057, 0, 1
0x0304	0x0A09      	XORLW       9
0x0306	0xE0D3      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request219
0x0308	0x5121      	MOVF        1057, 0, 1
0x030A	0x0A02      	XORLW       2
0x030C	0xE0D1      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request220
0x030E	0x5121      	MOVF        1057, 0, 1
0x0310	0x0A0A      	XORLW       10
0x0312	0xE0DB      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request221
0x0314	0x5121      	MOVF        1057, 0, 1
0x0316	0x0A03      	XORLW       3
0x0318	0xE0DE      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request222
0x031A	0x5121      	MOVF        1057, 0, 1
0x031C	0x0A0B      	XORLW       11
0x031E	0xE0E7      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request223
L___Lib_USB_genHID_USB_Check_HID_Request217:
;__Lib_USB_genHID.c,4350 :: 		
L_end_USB_Check_HID_Request:
0x0320	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Check_HID_Request
__Lib_USB_genHID_USB_Transfer_Packet:
;__Lib_USB_genHID.c,4074 :: 		
;__Lib_USB_genHID.c,4078 :: 		
0x0322	0x0102      	MOVLB       2
0x0324	0x5171      	MOVF        FARG___Lib_USB_genHID_USB_Transfer_Packet_dir, 0, 1
0x0326	0x0A00      	XORLW       0
0x0328	0xE012      	BZ          L___Lib_USB_genHID_USB_Transfer_Packet193
;__Lib_USB_genHID.c,4080 :: 		
0x032A	0xF000C270  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_ep, R0
0x032E	0x0E00      	MOVLW       0
0x0330	0x6E01      	MOVWF       R1 
0x0332	0x3600      	RLCF        R0, 1 
0x0334	0x9000      	BCF         R0, 0 
0x0336	0x3601      	RLCF        R1, 1 
0x0338	0x0E9B      	MOVLW       __Lib_USB_genHID_BDTEntry_InPtr
0x033A	0x2400      	ADDWF       R0, 0 
0x033C	0x6EE9      	MOVWF       FSR0L 
0x033E	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_InPtr)
0x0340	0x2001      	ADDWFC      R1, 0 
0x0342	0x6EEA      	MOVWF       FSR0H 
0x0344	0xF004CFEE  	MOVFF       POSTINC0, R4
0x0348	0xF005CFEE  	MOVFF       POSTINC0, R5
;__Lib_USB_genHID.c,4081 :: 		
